name,keywords
霸子牛排西餐廳,"['酥皮', '濃湯', '特別', '牛排', '180', '排餐', '旋轉', 'pizza', '沒有', '有點']"
登坂居酒屋,"['唐揚', '神泡', '關東', '適合', '綿密', '餐點', '必點', '蛤蜊', '好喝', '生啤酒']"
Hmwe Hmwe Chinese Myanmar Restaurant,[]
月之義大利餐廳,"['餐廳', '白醬', '蛤蜊', '大利', '海瓜子', '杏仁', '喜歡', '起司', '藍紋', '推薦']"
PAPA RESTAURANT /師大美食/師大義大利麵/師大簡餐/師大披薩/師大手工烘培/師大歐式麵包/師大下午茶/師大聚餐推薦/師大商業午餐/師大包場,"['大利', '起來', '濃湯', '店家', '評價', '甜點', '還有', '不會', '一個', '升級']"
Namaste Indian Restaurant,"['咖喱', '咖哩', '推薦', '烤餅', '羊肉', '牛肉', '味道', '價格', '口味', '香料']"
霞飛驛歐法西餐,"['大利', '酥皮', '濃湯', '套餐', '飲料', '講究', '價位', '主餐', '調味', '推薦']"
舞鶴村居酒屋,"['餐點', '感覺', '加強', '雖然', '用餐', '真的', '地點', '氣氛', '空間', '還不錯']"
幼魚壽司店,"['食材', '料理', '比目', '裝潢', '感覺', '這次', '壽司', '新鮮', '無菜', '體驗']"
印度之夏印度餐廳 indian summer restaurant,"['咖哩', '烤餅', '起司', '親切', '...', '覺得', '體驗', '點餐', '波菜', '口味']"
古亭讚食堂 Guting Like Restaurant,"['服務人員', '用餐', '感覺', '出來', '開心', '聚餐', '苦瓜', '味道', '客人', '清炒']"
峨嵋川菜餐廳,"['臭豆腐', '用餐', '餐廳', '料理', '川菜', '牛肉', '喜歡', '沒有', '螞蟻', '鱈魚']"
魚舞和食居酒屋,"['推薦', '蒸蛋', '環境', '生魚片', '建議', '實惠', '他們', '清酒', '口味', '下次']"
清真印度餐廳,"['咖喱', '印度', '烤餅', '介紹', '香料', '下次', '料理', '奶味', '坦都里', '濃郁']"
素食茄汁牛肉麵,"['牛肉', '湯頭', '象山', '素食', '茄汁', '咖喱', '猴頭菇', '沒有', '喜歡', '不錯']"
Namaste Indian Restaurant 2 (景平店),"['烤餅', '咖喱', '起司', '覺得', '咖哩', '雞肉', '選擇', '印度', '點了', '餐廳']"
Flavor of India Vegetarian Restaurant 品·印度蔬食餐廳,"['服務', '餐廳', '蕃茄', '餐點', '親切', '風味', '一個', '聚餐', '美味', '印度']"
18冠軍牛肉麵,"['雞湯', '湯頭', '牛肉', '排隊', '不錯', '味道', '牛肉丸', '30', '沒有', '特別']"
Orchid Restaurant 蘭,"['餐廳', '菜品', '牛派', '什麼', '超級', '香氣', '忌口', '搭配', '用餐', '介紹']"
合歡刀削麵館,"['牛肉', '湯頭', '排隊', '番茄', '刀削', '牛腩', '牛腱', '分鐘', '驚艷', '覺得']"
饗印印度料理Khanakhazana halal restaurant,"['咖喱', '雞肉', '烤餅', '牛肉', '印度', '粒粒', '莎拉', '一點', '起來', '辣度']"
Fang Pai restaurant (2nd level),"['et', 'un', 'de', 'nous', 'Cuisine', 'authentique', 'licieuse', 'concoct', 'par', 'chef']"
池先生 kopitiam premium (公館店),"['吐司', '椰漿', '咖椰', '濃鬱', '口感', '咖喱', '美食', '西米露', '滿足', '發著']"
貓空龍門客棧,"['不錯', '餐點', '調味', '餐廳', '服務', '口味', '味道', '貓空', '水準', '氣氛']"
蔬軾．樂華店．創意蔬食料理．So Veg Restaurant,"['ufeff', '蔬食', '優格', '餐點', '牛肝菌', '蔬軾', '臭豆腐', '料理', '不會', '起司']"
大福利餐廳（開心素食）,"['菜色', '餐廳', '芋頭', '素食', '口感', '提供', '川味', '每道菜', '料理', '小炒']"
錦龍美食餐廳,"['雞湯', '好喝', '錦龍', '肉絲', '還有', '今天', '味道', '糖醋排骨', '香酥', '出餐']"
新卡莎素食西餐廳,"['鐵板', '素食', '酥皮', '西餐', '南瓜', '氛圍', '餐點', '猴頭菇', '濃郁', '餐廳']"
山嵐拉麵 公館店,"['不會', '油脂', '喜歡', '濃厚', '湯頭', '店內', '服務', '300', '豐盛', '30%']"
麥當勞-永和餐廳,"['麥當勞', '..', '當勞', '內用', '一樣', '薯條', '有點', '起來', '安格斯', '餐廳']"
錢都日式涮涮鍋 台北師大店,"['時候', '記得', '新鮮', '飲料', '冰淇淋', '用餐', '女兒', '問題', '食材', '點了']"
すき家 SUKIYA 公館店,"['台灣', '店員', '更換', '內用', '餐廳', '外帶', '這家', '有點', '付現', '咖哩']"
原源牛肉麵,"['抄手', '水餃', '起來', '湯頭', '牛肉', '餛飩', '剛好', '不會', '滿滿', '麻醬']"
義興樓EAT-THING RESTAURANT,"['台菜', '份量', '油條', '不會', '有點', '義興樓', '冬粉', '喜歡', '香氣', '餐廳']"
渣男 Taiwan Bistro 信義一渣,"['顧客', '五段', '時候', '沒有', '調酒', '店內', '150', '小酌', '拍照', '口味']"
香港鑫華茶餐廳,"['港式', '喜歡', '店員', '沒有', '他們', '公仔', '服務', '感覺', '法蘭西', '多士']"
蔬軾．安和店．創意蔬食料理．So Veg Restaurant,"['優格', '冰淇淋', '臭豆腐', '蔬食', '筍蛋', '香氣', '濃郁', '下次', '搭配', '牛肝菌']"
上海醉月樓 - 台北遠東香格里拉,"['餐點', '餐廳', '服務', '整體', '老飯', '怎麼樣', '用餐', '台北', '這間', '不過']"
神樂坂割烹,"['特別', '食材', '感覺', '無菜', '這是', '料理', '搭配', '非常', '口感', '不錯']"
Schumann’s BISTRO NO. 6 舒曼六號餐館 政大店,"['豬腳', '有點', '擁擠', '豬腳燉', '起來', '不膩', '農莊', '務費', '一個', '大利']"
禾牧 Home - 麵食料理/景美店,"['小菜', '物籃', '好喝', '餐具', '牛肉', '雖然', '檸檬', '醬料區', '不錯', '旁邊']"
正傳統活海鮮台灣小吃,"['時候', '分鐘', '熱炒店', '糖醋', '其實', '10', '環境', '蛤蜊', '新店', '算是']"
高記燒臘廚房,"['燒肉', '配菜', '他們', '..', '環境', '排隊', '還蠻', '點了', '給的', '不錯']"
阿里巴巴的廚房-辛亥二店 Alibaba Indian’s Kitchen - Xinhai Branch Halal Restaurant,"['咖哩', '印度', '味道', '香料', '有點', '奶茶', '烤餅', '人覺', '餐廳', '算是']"
大漁港餐廳,"['點餐', '....', '感覺', '劃單', '服務人員', '態度', '餐點', '整體', '偏油', '不過']"
Halal 清真 泰式廚房,"['咖哩', '份量', '起司', '腿肉', '食物', '泰式', '到訪', '點了', '麻雞', '雞肉']"
"香港成記-燒臘點心粥麵飯餐館-永和港式店BBQ Pork, rice, noodle, dim sums restaurant Yong He","['這邊', '乾淨', '台灣', '這裡', '舊址', '實在', '喜歡', '外帶', 'QRcode', '因為']"
波波恰恰大馬風味餐,"['發票', '配菜', '肉骨', '稀釋', '免費', '...', '好喝', '口味', '便宜', '自填']"
順園小館,"['感覺', '那種', '順園', '小館', '用餐', '有點', '時候', '木須', '公館', '小館子']"
Asado阿根廷異國料理,"['吉拿棒', '千層', '阿根廷', '料理', '烤肉', '份量', '30', '學生', '這樣', '要點']"
"J.W. Teres, the Bulgarian Restaurant","['加利', '覺得', '紅酒', '亞的', '因為', '食物', '非常', '喜歡', '餐廳', '10']"
永旭府城小吃,"['分鐘', '套餐', '環境', '其實', '出餐', '糊糊', '青菜', '根本', '乾柴', '地下街']"
Salt and Stone,"['沙拉', '整體', '口感', '胡桃', '餐點', '雞肉', '披薩', '不過', '喜歡', '訂位']"
すき家信義安和,"['喜歡', 'ok', '牛肉', '結帳', 'sukiya', '值高', 'CP', '店內', '用餐', '青菜']"
浙寧芳家餐廳,"['評價', '沒有', '味道', '整體', '那麼', '感覺', '老店', '清淡', '突感', '每道菜']"
山羊 GOAT bistro & cafe’,"['餐點', '大利', '美味', '餐廳', '服務', '不錯', '咖啡', '很棒', '西西里', '焦糖']"
Juicy Bun Burger 就是棒 美式餐廳 政大店,"['漢堡', '份量', '餐廳', '還有', '歐姆', '飲料', '起司', '美式', '划算', '這間']"
豔陽下義大利小餐館,"['大利', '料理', '有點', '餐廳', '餐點', '用餐', '美味', '臀肉', '友人', '羊肉']"
真好味烤鴨莊,"['餅皮', '不會', '覺得', '小杯', '這樣', '外帶', '高麗菜', '經過', '皮切', '名店']"
LI RA義大利廚房,"['大利', '沙拉', '飲料', '環境', '薯條', '餐點', '套餐', '餐廳', '主餐', '甜點']"
