place_id,keywords
ChIJC8ObMXqpQjQRXnbI0Upn_4Y,"['牛排', '搭配', '起來', '主餐', '海膽燉', '餐點', '威靈頓', '濃郁', '特別', '服務']"
ChIJpTrYE5mpQjQRcCAtcinledI,[]
ChIJsfzIwoKpQjQR36_EerquuxY,"['餐廳', '雖然', '小籠', '湯包', '鍋餅', '銀翼', '雪菜', '口感', '味道', '這家']"
ChIJb9CZ9m6pQjQRZ7PgTEtMDOo,"['結果', '那麼', '店員', '過期', '裡面', '用餐', '本來', '時候', '不會', '覺得']"
ChIJg8oKovkBaDQRsc7um8R_1Gk,"['店員', '餐點', '感覺', '不錯', '鈴薯', '氣氛', '活動', '服務', '超棒', '360']"
ChIJT_qVvoOpQjQR0lNQZ4pe94U,"['路過', '時間', '覺得', '環境', '居酒', '比較', '剛好', '燒烤', '味道', '日本']"
ChIJZSxvfbMBBDQRbPUaojmS8vk,"['荷蘭', '青口', '芝士', '荷蘭菜', '咖喱', '餐廳', '傳統', '肉質', '香腸', '雪糕']"
ChIJq5eqgnsABDQRAxupXLYqR4U,"['餐廳', '不過', '一個', '環境', '食物', '芝蓮', '..', '服務', '條魚', '魷魚']"
ChIJxRPsju4ABDQRslEoDlOVf6c,"['沙律', '口感', '黑松', '法式', '尖沙咀', '奶凍', '黑毛', '西班牙', '青口', '蝦湯']"
ChIJgyIuJXsABDQRYrtPmxmcyr0,"['hour', '不錯', '食物', '尤如', '燒超過', '追單', '時態度', '極惡劣', '眼鏡', '串燒']"
ChIJK2Gq8eoABDQRRmGVSn-kFY4,"['Momo', '尼泊爾', '餃子', '咖喱', '食物', '脆皮', '兩次', '好食', '環境', 'Puri']"
ChIJk5WhWOoABDQR_ZAdps6xgOE,"['momo', 'food', 'will', 'like', 'chicken', 'while', 'good', 'spicy', '咖喱', '食物']"
ChIJT0xt_aUBBDQRZCKue5PBbMw,"['咖喱', '奶昔', '特別', '食同', '友善', '值得', '香港', '料理', '好好', '芝士']"
ChIJ-SlksYoBBDQRSXDyeFZHSxQ,"['沙律', '芝士', '餐廳', '非常', '濃郁', '豐富', '味道', '口感', '焦糖', '雞卷']"
ChIJ9TB5jAcBBDQREQJ8mH5EaVw,"['service', 'food', 'but', 'Super', 'his', 'tofu', 'our', 'favourite', 'Overall', 'excellent']"
ChIJdR8ACZYBBDQRH3DBVDPVsbY,"['味道', '港式', '芝士', '茶餐', '想點', '衛生', '價格', '抵食', '已經', '不錯']"
ChIJr3ZJOXsABDQRvRVv2PvA-1Y,"['Nice', 'real', 'here', 'some', 'nice', 'Gluten', 'your', 'Very', 'food', '五星']"
