place_id,keywords
ChIJTbuM1T6tQjQRiXYEFN_tIr4,"['房間', '飯店', '人員', '空間', '浴室', '不會', '服務人員', '入住', '用餐', '漢來']"
ChIJewvXULqrQjQRZ4KcKM5lPTE,"['服務人員', '一個', '飯店', '包箱', '反應', '客戶', '咖啡', '五星', '早餐', '自助餐']"
ChIJeUp8ZTKqQjQRG274UZw34LQ,"['飯店', '12', '服務', '10', '退房', '沒有', '發現', '告知', '櫃台', '人員']"
ChIJgSeCsqSrQjQRZql8DEzsovs,"['飯店', '真的', '菜色', '求婚', '入住', '一個', '餐廳', '適合', '時間', '上菜']"
ChIJWYc2dtKrQjQR6IAktDRNOio,"['房間', 'SLH', '一個', '飯店', '酒店', 'Hyatt', '沒有', '真的', '早餐', '非常']"
ChIJYQfvOgGqQjQRtU2wKsfUKFs,"['超級', '房間', '景美', '旁邊', '洗澡', '捷運站', '熱水', '安靜', '枕頭', '還要']"
ChIJfXnrGgMCaDQR1_HxJ7ledss,"['房間', '入住', '飯店', '阿姨', '結果', '因為', '停車', '趕緊', '協助', '舒服']"
ChIJxR84V3CpQjQRLC3zJq_aA8M,"['房間', '飯店', '早餐', '沒有', '因為', '服務', '房內', '行李', '隔音', '房卡']"
ChIJsWLlRXKrQjQR04ONnhEf91Y,"['房間', '熱水', '有點', '不錯', '落地窗', '隔音', '洗澡', '信義區', 'check', '時間']"
ChIJ-4Q7VHipQjQRIV5GGSI2F6U,"['房間', '插座', '商旅', '房內', '飯店', '台灣', '金來', '問題', '服務人員', '態度']"
ChIJ7Y91WZqpQjQRLaBnB7J1Egc,"['還有', '設備', '環境', '乾淨', '溫馨', '舒適', '親切', '雖然', '起來', '醬料']"
ChIJ0-Uwe4KpQjQRgCfVegcg5dE,"['房間', '早餐', '捷運', '地點', '有點', '方便', '友善', '入住', '台北', '餐廳']"
ChIJU1U-3_IABDQREOE9-jvc4HQ,"['飯店', '房間', '問題', '老舊', '浴室', '兩間', '房內', '沒有', '非常', '體驗']"
ChIJUUoEMlwABDQRf9H0ooj1FVY,"['房間', '乾淨', '非常', '親切', '距離', '適合', '已經', '入住', '酒店', '手力']"
ChIJJWPZ2iMBBDQRSgFZVGpkUgU,"['狗狗', '一個', '午宴', '酒店', '一間', 'Arca', '房間', '婚禮', '非常', '婚宴']"
ChIJn1m1D1EBBDQRxM8er-dJzts,"['房間', '酒店', '整體', '房型', '可以', '入住', '非常', '蘭桂坊', '一點', '飯店']"
ChIJv2kvcSIABDQRhh6fMccsugU,"['房間', '飯店', '市區', '巴士站', '月租', '酒店', '大廳', '乾淨', '餐廳', '分鐘']"
ChIJ8SgJDvIABDQRgA6YPZc8epg,"['房間', '入住', '雙床', '雖然', '這間', '印度人', '真的', '隔音', '曲奇', '無法']"
ChIJn6TsCX0BBDQRtbkRDjxUnBM,"['飯店', 'Nicole', '房間', '乾淨', '舒適', '行李', '當時', '他們', '入住', '整理']"
ChIJhfFunnwABDQRwFxB33qNM-M,"['飯店', '耳塞', '房間', 'n1', 'n2', '親切', '應該', '貼心', '超級', '舒適']"
ChIJcxxu6O0ABDQRf-7JHHw6P14,"['房間', '沒有', '親切', '大樓', '地點', '禮貌', '住客', '舒適', '乾淨', '還幫']"
ChIJuYa0mn4ABDQRSEM9CrdjQrs,"['飯店', '房間', '上環', '酒店', '方便', '分鐘', '還有', '香港', '入住', 'n1']"
ChIJewz8QYH_AzQRzRa9Gq-0NsE,"['太薄', '被子', '房間', '還有', '00', '分鐘', 'n1', 'n2', '一個', '11']"
ChIJux6jM9gABDQRQ5piOps_4bk,"['沒有', '酒店', '房間', '人員', '因為', '詢問', '電話', '位置', '房卡', '人住']"
ChIJVVXq130ABDQRdciMt5FQN7M,"['入住', '酒店', '房間', '司機', '非常', '港城', '飯店', '地點', '兩個', '環地']"
ChIJDRz3bpr_AzQRsLgXvXOxgXM,"['房間', '酒店', '態度', '公寓式', '方便', '食肆', '堅尼地', '距離', '地鐵站', '巴士站']"
ChIJVcNd3HoABDQRorcUiK5leyg,"['Great', 'were', 'noise', '房間', '設計', '不錯', '進去', '有潮', 'nfriend', '沒有']"
